// developed as part of  presentation to Qlik Healthcare Dev Group September Gathering 2017-09-14
// johnmackintosh.jm@gmail.com


// preceding load - add a counter for each row
LOAD *,
1 as Counter;


// dummy data  - random numbers/ manual edits etc
SPCData:
LOAD * INLINE [
    ReportPeriod, Numerator, Denominator, Multiplier, Type
    2018-01-01, 181, 30, 1, I
    2018-02-01, 148, 29, 1, I
    2018-03-01, 155, 27, 1, I
    2018-04-01,211, 30, 1, I
    2018-05-01, 167, 30, 1, I
    2018-06-01, 159, 32, 1, I
    2018-07-01, 167, 33, 1, I
    2018-08-01, 218, 28, 1, I
    2018-09-01, 144, 32, 1, I
    2018-10-01, 161, 33, 1, I
    2018-11-01, 155, 34, 1, I
    2018-12-01, 187, 30, 1, I
    2019-01-01, 195, 35, 1, I
    2019-02-01, 190, 31, 1, I
    2019-03-01, 154, 36, 1, I
    2019-04-01, 198, 42, 1, I
    2019-05-01, 161, 36, 1, I
    2019-06-01, 155, 42, 1, I
    2019-07-01, 169, 42, 1, I
    2019-08-01, 186, 36, 1, I
    2019-09-01, 175, 34, 1, I
    2019-10-01, 171, 34, 1, I
    2019-11-01, 190, 30, 1, I
    2019-12-01, 185, 36, 1, I
    2020-01-01, 167, 33, 1, I
    2020-02-01, 146, 33, 1, I
    2020-03-01, 157, 37, 1, I
    2020-04-01, 142, 37, 1, I
    2020-05-01, 175, 38, 1, I
    2020-06-01, 190, 35, 1, I
    2020-07-01, 154, 32, 1, I
    2020-08-01, 156, 39, 1, I
    2020-09-01, 165, 33, 1, I
    2020-10-01, 182, 37, 1, I
    2020-11-01, 164, 35, 1, I
    2020-12-01, 148, 41, 1, I
    2021-01-01, 203, 36, 1, I
    2021-02-01, 190, 31, 1, I
    2021-03-01, 193, 43, 1, I
    2021-04-01, 166, 35, 1, I
    2021-05-01, 175, 26, 1, I
    2018-01-01, 61, 11344, 1000, U
    2018-02-01, 78, 11035, 1000, U
    2018-03-01, 65, 12093, 1000, U
    2018-04-01, 71, 11639, 1000, U
    2018-05-01, 64, 11909, 1000, U
    2018-06-01, 67, 11439, 1000, U
    2018-07-01, 85, 11714, 1000, U
    2018-08-01, 70, 12041, 1000, U
    2018-09-01, 71, 11324, 1000, U
    2018-10-01, 83, 11683, 1000, U
    2018-11-01, 67, 11327, 1000, U
    2018-12-01, 72, 11647, 1000, U
    2019-01-01, 82, 12347, 1000, U
    2019-02-01, 69, 11120, 1000, U
    2019-03-01, 99, 11965, 1000, U
    2019-04-01, 85, 11578, 1000, U
    2019-05-01, 86, 12110, 1000, U
    2019-06-01, 78, 11930, 1000, U
    2019-07-01, 77, 12281, 1000, U
    2019-08-01, 60, 12188, 1000, U
    2019-09-01, 75, 11762, 1000, U
    2019-10-01, 80, 11924, 1000, U
    2019-11-01, 72, 11916, 1000, U
    2019-12-01, 61, 11642, 1000, U
    2020-01-01, 70, 13671, 1000, U
    2020-02-01, 58, 11666, 1000, U
    2020-03-01, 56, 11896, 1000, U
    2020-04-01, 71, 11460, 1000, U
    2020-05-01, 75, 12176, 1000, U
    2020-06-01, 60, 11743, 1000, U
    2020-07-01, 51, 12476, 1000, U
    2020-08-01, 70, 12492, 1000, U
    2020-09-01, 42, 11998, 1000, U
    2020-10-01, 53, 11265, 1000, U
    2020-11-01, 48, 12116, 1000, U
    2020-12-01, 85, 11254, 1000, U
    2021-01-01, 84, 12670, 1000, U
    2021-02-01, 77, 11966, 1000, U
    2021-03-01, 68, 11841, 1000, U
    2021-04-01, 69, 12417, 1000, U
    2021-05-01, 80, 12264, 1000, U
    2018-01-01, 3, 15, 1, C
    2018-02-01, 0, 10, 1, C
    2018-03-01, 4, 14, 1, C
    2018-04-01, 4, 17, 1, C
    2018-05-01, 1, 14, 1, C
    2018-06-01, 1, 15, 1, C
    2018-07-01, 1, 9, 1, C
    2018-08-01, 2, 10, 1, C
    2018-09-01, 1, 9, 1, C
    2018-10-01, 3, 14, 1, C
    2018-11-01, 3, 13, 1, C
    2018-12-01, 1, 11, 1, C
    2019-01-01, 0, 12, 1, C
    2019-02-01, 3, 13, 1, C
    2019-03-01, 2, 13, 1, C
    2019-04-01, 1, 13, 1, C
    2019-05-01, 0, 14, 1, C
    2019-06-01, 2, 13, 1, C
    2019-07-01, 2, 13, 1, C
    2019-08-01, 1, 11, 1, C
    2019-09-01, 1, 10, 1, C
    2019-10-01, 1, 12, 1, C
    2019-11-01, 0, 12, 1, C
    2019-12-01, 1, 16, 1, C
    2020-01-01, 0, 7, 1, C
    2020-02-01, 2, 11, 1, C
    2020-03-01, 2, 12, 1, C
    2020-04-01, 2, 22, 1, C
    2020-05-01, 1, 13, 1, C
    2020-06-01, 1, 14, 1, C
    2020-07-01, 1, 12, 1, C
    2020-08-01, 0, 12, 1, C
    2020-09-01, 0, 8, 1, C
    2020-10-01, 1, 11, 1, C
    2020-11-01, 2, 12, 1, C
    2020-12-01, 1, 16, 1, C
    2021-01-01, 2, 10, 1, C
    2021-02-01, 0, 13, 1, C
    2021-03-01, 2, 16, 1, C
    2021-04-01, 2, 13, 1, C
    2021-05-01, 2, 12, 1, C
    2018-01-01, 9, 431, 100, P
    2018-02-01, 5, 372, 100, P
    2018-03-01, 2, 347, 100, P
